,pobre,area,casal,genero,raca,escolaridade,atividade,aposentadoria,dom_tipo,agua_adeq,esgoto_ad,banheiro,paredes,casa_tipo,geladeira,maquina_lavar,tv,computador,internet,carro,moto,idade,n_moradores,n_criancas,n_adultos,densidade,fone_pc
92,0,urbano,solteiro,homem,preto ou pardo,superior completo,ativo ocupado,nao,apartamento,adequada,adequado,sim,adequada,alugado,sim,nao,sim,nao,sim,sim,nao,35,3,1,2,0.5,1.0
93,0,urbano,casado,mulher,preto ou pardo,medio completo,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,nao,nao,nao,71,2,0,2,0.333333333333333,0.5
94,0,urbano,solteiro,mulher,preto ou pardo,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,sim,nao,nao,60,1,0,1,0.2,0.0
95,0,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,44,3,1,2,0.6,0.5
96,0,urbano,casado,mulher,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,inadequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,62,5,0,5,1.0,1.0
97,0,urbano,casado,homem,branco,fundam incompleto,ativo ocupado,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,71,4,1,3,0.571428571428571,1.0
98,0,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,nao,nao,sim,nao,sim,nao,nao,84,3,0,3,1.0,0.666666666666667
99,0,urbano,casado,homem,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,nao,nao,35,2,0,2,0.666666666666667,1.0
100,0,urbano,casado,mulher,preto ou pardo,medio completo,inativo,nao,apartamento,adequada,adequado,sim,adequada,alugado,sim,nao,sim,nao,sim,nao,nao,26,2,0,2,0.666666666666667,1.0
101,0,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,nao,nao,71,2,0,2,0.5,1.0
102,1,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,nao,sim,sim,sim,nao,nao,41,2,1,1,0.5,2.0
103,0,urbano,solteiro,mulher,branco,medio completo,ativo ocupado,sim,casa,adequada,adequado,sim,adequada,cedido,nao,sim,sim,sim,sim,sim,sim,54,5,1,4,0.555555555555556,1.25
104,1,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,inativo,nao,apartamento,adequada,inadequado,sim,adequada,alugado,sim,nao,sim,nao,sim,nao,nao,30,5,4,1,1.25,1.0
105,1,urbano,casado,homem,branco,fundam incompleto,inativo,nao,casa,adequada,inadequado,sim,adequada,proprio pago,sim,nao,sim,nao,sim,nao,nao,44,6,1,5,2.0,0.2
106,0,urbano,casado,mulher,preto ou pardo,medio completo,ativo ocupado,nao,apartamento,adequada,inadequado,sim,adequada,alugado,sim,sim,sim,sim,sim,nao,nao,36,3,1,2,1.0,0.5
107,1,urbano,casado,mulher,preto ou pardo,medio completo,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,nao,nao,nao,43,4,2,2,0.8,0.5
108,0,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,sim,casa,adequada,adequado,sim,adequada,proprio nao pago,nao,sim,sim,sim,sim,sim,nao,62,3,0,3,0.428571428571429,0.666666666666667
109,0,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,nao,sim,sim,sim,sim,sim,sim,42,4,2,2,0.666666666666667,1.5
110,1,urbano,casado,homem,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,nao,nao,sim,61,4,1,3,0.666666666666667,0.666666666666667
111,0,urbano,casado,homem,preto ou pardo,fundam incompleto,ativo ocupado,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,nao,nao,nao,67,2,0,2,0.5,0.5
112,0,urbano,casado,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,nao,sim,sim,sim,sim,nao,sim,30,2,0,2,0.4,1.0
